id_aluno,data,status,justificativa,professor
1,2025-07-01,Presença,nda,professor1
2,2025-07-01,Presença,nda,professor1
3,2025-07-01,Presença,nda,professor1
4,2025-07-01,Presença,nda,professor1
5,2025-07-01,Presença,nda,professor1
6,2025-07-01,Presença,nda,professor1
7,2025-07-01,Presença,nda,professor1
8,2025-07-01,Presença,nda,professor1
9,2025-07-01,Presença,nda,professor1
10,2025-07-01,Presença,nda,professor1
11,2025-07-01,Presença,nda,professor1
12,2025-07-01,Presença,nda,professor1
13,2025-07-01,Presença,nda,professor1
14,2025-07-01,Presença,nda,professor1
15,2025-07-01,Presença,nda,professor1
16,2025-07-01,Presença,nda,professor1
17,2025-07-01,Presença,nda,professor1
18,2025-07-01,Presença,nda,professor1
19,2025-07-01,Presença,nda,professor1
20,2025-07-01,Presença,nda,professor1
21,2025-07-01,Presença,nda,professor1
22,2025-07-01,Presença,nda,professor1
23,2025-07-01,Presença,nda,professor1
24,2025-07-01,Presença,nda,professor1
25,2025-07-01,Presença,nda,professor1
26,2025-07-01,Presença,nda,professor1
27,2025-07-01,Presença,nda,professor1
28,2025-07-01,Presença,nda,professor1
29,2025-07-01,Presença,nda,professor1
30,2025-07-01,Presença,nda,professor1
31,2025-07-01,Presença,nda,professor1
32,2025-07-01,Presença,nda,professor1
33,2025-07-01,Presença,nda,professor1
34,2025-07-01,Presença,nda,professor1
35,2025-07-01,Presença,nda,professor1
36,2025-07-01,Presença,nda,professor1
37,2025-07-01,Presença,nda,professor1
38,2025-07-01,Presença,nda,professor1
39,2025-07-01,Presença,nda,professor1
40,2025-07-01,Presença,nda,professor1
41,2025-07-01,Presença,nda,professor1
42,2025-07-01,Presença,nda,professor1
43,2025-07-01,Presença,nda,professor1
44,2025-07-01,Presença,nda,professor1
45,2025-07-01,Presença,nda,professor1
46,2025-07-01,Presença,nda,professor1
47,2025-07-01,Presença,nda,professor1
48,2025-07-01,Presença,nda,professor1
49,2025-07-01,Presença,nda,professor1
50,2025-07-01,Presença,nda,professor1
51,2025-07-01,Presença,nda,professor1
52,2025-07-01,Presença,nda,professor1
53,2025-07-01,Presença,nda,professor1
54,2025-07-01,Presença,nda,professor1
55,2025-07-01,Presença,nda,professor1
56,2025-07-01,Presença,nda,professor1
57,2025-07-01,Presença,nda,professor1
58,2025-07-01,Presença,nda,professor1
59,2025-07-01,Presença,nda,professor1
60,2025-07-01,Presença,nda,professor1
61,2025-07-01,Presença,nda,professor1
62,2025-07-01,Presença,nda,professor1
63,2025-07-01,Presença,nda,professor1
64,2025-07-01,Presença,nda,professor1
65,2025-07-01,Presença,nda,professor1
66,2025-07-01,Presença,nda,professor1
67,2025-07-01,Presença,nda,professor1
68,2025-07-01,Presença,nda,professor1
69,2025-07-01,Presença,nda,professor1
70,2025-07-01,Presença,nda,professor1
71,2025-07-01,Presença,nda,professor1
72,2025-07-01,Presença,nda,professor1
73,2025-07-01,Presença,nda,professor1
74,2025-07-01,Presença,nda,professor1
1,2025-07-02,Presença,nda,professor1
2,2025-07-02,Presença,nda,professor1
3,2025-07-02,Presença,nda,professor1
4,2025-07-02,Presença,nda,professor1
5,2025-07-02,Presença,nda,professor1
6,2025-07-02,Presença,nda,professor1
7,2025-07-02,Presença,nda,professor1
8,2025-07-02,Presença,nda,professor1
9,2025-07-02,Presença,nda,professor1
10,2025-07-02,Presença,nda,professor1
11,2025-07-02,Presença,nda,professor1
12,2025-07-02,Presença,nda,professor1
13,2025-07-02,Presença,nda,professor1
14,2025-07-02,Presença,nda,professor1
15,2025-07-02,Presença,nda,professor1
16,2025-07-02,Presença,nda,professor1
17,2025-07-02,Presença,nda,professor1
18,2025-07-02,Presença,nda,professor1
19,2025-07-02,Presença,nda,professor1
20,2025-07-02,Presença,nda,professor1
21,2025-07-02,Presença,nda,professor1
22,2025-07-02,Presença,nda,professor1
23,2025-07-02,Presença,nda,professor1
24,2025-07-02,Presença,nda,professor1
25,2025-07-02,Presença,nda,professor1
26,2025-07-02,Presença,nda,professor1
27,2025-07-02,Presença,nda,professor1
28,2025-07-02,Presença,nda,professor1
29,2025-07-02,Presença,nda,professor1
30,2025-07-02,Presença,nda,professor1
31,2025-07-02,Presença,nda,professor1
32,2025-07-02,Presença,nda,professor1
33,2025-07-02,Presença,nda,professor1
34,2025-07-02,Presença,nda,professor1
35,2025-07-02,Presença,nda,professor1
36,2025-07-02,Presença,nda,professor1
37,2025-07-02,Presença,nda,professor1
38,2025-07-02,Presença,nda,professor1
39,2025-07-02,Presença,nda,professor1
40,2025-07-02,Presença,nda,professor1
41,2025-07-02,Presença,nda,professor1
42,2025-07-02,Presença,nda,professor1
43,2025-07-02,Presença,nda,professor1
44,2025-07-02,Presença,nda,professor1
45,2025-07-02,Presença,nda,professor1
46,2025-07-02,Presença,nda,professor1
47,2025-07-02,Presença,nda,professor1
48,2025-07-02,Presença,nda,professor1
49,2025-07-02,Presença,nda,professor1
50,2025-07-02,Presença,nda,professor1
51,2025-07-02,Presença,nda,professor1
52,2025-07-02,Presença,nda,professor1
53,2025-07-02,Presença,nda,professor1
54,2025-07-02,Presença,nda,professor1
55,2025-07-02,Presença,nda,professor1
56,2025-07-02,Presença,nda,professor1
57,2025-07-02,Presença,nda,professor1
58,2025-07-02,Presença,nda,professor1
59,2025-07-02,Presença,nda,professor1
60,2025-07-02,Presença,nda,professor1
61,2025-07-02,Presença,nda,professor1
62,2025-07-02,Presença,nda,professor1
63,2025-07-02,Presença,nda,professor1
64,2025-07-02,Presença,nda,professor1
65,2025-07-02,Presença,nda,professor1
